,index,filename,Annotation,Begin Time (s),End Time (s),Probability,Event Audio Filename,Event Spec Filename
0,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bird1,1705.0,1709.0,0.99995065,0_bird1.wav,0_bird1.png
1,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bird1,1739.0,1743.0,0.9998862,1_bird1.wav,1_bird1.png
2,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bird1,1576.0,1580.0,0.9997994,2_bird1.wav,2_bird1.png
3,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bird1,1551.0,1555.0,0.99978936,3_bird1.wav,3_bird1.png
4,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bird1,1503.0,1507.0,0.99976516,4_bird1.wav,4_bird1.png
5,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rufgro,1868.0,1872.0,0.055755608,5_rufgro.wav,5_rufgro.png
6,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rocpig,936.0,940.0,0.501696,6_rocpig.wav,6_rocpig.png
7,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rocpig,645.0,649.0,0.2349239,7_rocpig.wav,7_rocpig.png
8,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rocpig,950.0,954.0,0.20390901,8_rocpig.wav,8_rocpig.png
9,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rocpig,967.0,971.0,0.12346019,9_rocpig.wav,9_rocpig.png
10,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rocpig,3144.0,3148.0,0.05281074,10_rocpig.wav,10_rocpig.png
11,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,moudov,1955.0,1959.0,0.4300244,11_moudov.wav,11_moudov.png
12,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,moudov,1947.0,1951.0,0.07099861,12_moudov.wav,12_moudov.png
13,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,moudov,1921.0,1925.0,0.056809276,13_moudov.wav,13_moudov.png
14,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,moudov,1961.0,1965.0,0.05170609,14_moudov.wav,14_moudov.png
15,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,killde,2410.0,2414.0,0.10453002,15_killde.wav,15_killde.png
16,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,killde,1789.0,1793.0,0.08549497,16_killde.wav,16_killde.png
17,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,solsan,3581.0,3585.0,0.07102671,17_solsan.wav,17_solsan.png
18,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,leasan,2368.0,2372.0,0.11823614,18_leasan.wav,18_leasan.png
19,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,comloo,516.0,520.0,0.07190721,19_comloo.wav,19_comloo.png
20,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,reshaw,1594.0,1598.0,0.17800774,20_reshaw.wav,20_reshaw.png
21,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,reshaw,1820.0,1824.0,0.11452354,21_reshaw.wav,21_reshaw.png
22,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,reshaw,1840.0,1844.0,0.060987156,22_reshaw.wav,22_reshaw.png
23,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,reshaw,1679.0,1683.0,0.055810332,23_reshaw.wav,23_reshaw.png
24,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easowl1,1106.0,1110.0,0.12008272,24_easowl1.wav,24_easowl1.png
25,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easowl1,1813.0,1817.0,0.08662401,25_easowl1.wav,25_easowl1.png
26,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grhowl,928.0,932.0,0.08107963,26_grhowl.wav,26_grhowl.png
27,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grhowl,640.0,644.0,0.07864455,27_grhowl.wav,27_grhowl.png
28,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grhowl,2975.0,2979.0,0.07588588,28_grhowl.wav,28_grhowl.png
29,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grhowl,175.0,179.0,0.060611606,29_grhowl.wav,29_grhowl.png
30,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,nswowl,731.0,735.0,0.05483859,30_nswowl.wav,30_nswowl.png
31,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,yebsap,16.0,20.0,0.051183417,31_yebsap.wav,31_yebsap.png
32,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,dowwoo,3247.0,3251.0,0.10825685,32_dowwoo.wav,32_dowwoo.png
33,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,pilwoo,2222.0,2226.0,0.16883488,33_pilwoo.wav,33_pilwoo.png
34,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,pilwoo,2029.0,2033.0,0.13129175,34_pilwoo.wav,34_pilwoo.png
35,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,pilwoo,2161.0,2165.0,0.098372586,35_pilwoo.wav,35_pilwoo.png
36,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,pilwoo,1959.0,1963.0,0.080520466,36_pilwoo.wav,36_pilwoo.png
37,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,pilwoo,1923.0,1927.0,0.08044437,37_pilwoo.wav,37_pilwoo.png
38,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,norfli,1533.0,1537.0,0.9367094,38_norfli.wav,38_norfli.png
39,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,norfli,1661.0,1665.0,0.9171487,39_norfli.wav,39_norfli.png
40,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,norfli,1650.0,1654.0,0.91224706,40_norfli.wav,40_norfli.png
41,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,norfli,1776.0,1780.0,0.8873038,41_norfli.wav,41_norfli.png
42,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,norfli,1946.0,1950.0,0.88290167,42_norfli.wav,42_norfli.png
43,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eawpew,2420.0,2424.0,0.16320926,43_eawpew.wav,43_eawpew.png
44,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eawpew,2414.0,2418.0,0.06942716,44_eawpew.wav,44_eawpew.png
45,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eawpew,3547.0,3551.0,0.055108897,45_eawpew.wav,45_eawpew.png
46,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easpho,2569.0,2573.0,0.38462013,46_easpho.wav,46_easpho.png
47,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easpho,3588.0,3592.0,0.15415584,47_easpho.wav,47_easpho.png
48,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easpho,3576.0,3580.0,0.14179502,48_easpho.wav,48_easpho.png
49,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easpho,1660.0,1664.0,0.08769782,49_easpho.wav,49_easpho.png
50,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,easpho,2405.0,2409.0,0.076633975,50_easpho.wav,50_easpho.png
51,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,warvir,1799.0,1803.0,0.10057628,51_warvir.wav,51_warvir.png
52,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,reevir1,171.0,175.0,0.06396275,52_reevir1.wav,52_reevir1.png
53,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,blujay,2269.0,2273.0,0.70150673,53_blujay.wav,53_blujay.png
54,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,blujay,1851.0,1855.0,0.48619187,54_blujay.wav,54_blujay.png
55,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,blujay,1362.0,1366.0,0.47438508,55_blujay.wav,55_blujay.png
56,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,blujay,1680.0,1684.0,0.43629625,56_blujay.wav,56_blujay.png
57,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,blujay,1649.0,1653.0,0.27923313,57_blujay.wav,57_blujay.png
58,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bkcchi,1432.0,1436.0,0.9101391,58_bkcchi.wav,58_bkcchi.png
59,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bkcchi,2031.0,2035.0,0.82574856,59_bkcchi.wav,59_bkcchi.png
60,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bkcchi,2011.0,2015.0,0.8167392,60_bkcchi.wav,60_bkcchi.png
61,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bkcchi,2017.0,2021.0,0.81579393,61_bkcchi.wav,61_bkcchi.png
62,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,bkcchi,1395.0,1399.0,0.7876781,62_bkcchi.wav,62_bkcchi.png
63,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,tuftit,446.0,450.0,0.95452654,63_tuftit.wav,63_tuftit.png
64,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,tuftit,485.0,489.0,0.9489244,64_tuftit.wav,64_tuftit.png
65,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,tuftit,1182.0,1186.0,0.91322124,65_tuftit.wav,65_tuftit.png
66,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,tuftit,1214.0,1218.0,0.9095832,66_tuftit.wav,66_tuftit.png
67,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,tuftit,474.0,478.0,0.9037342,67_tuftit.wav,67_tuftit.png
68,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,ruckin,3529.0,3533.0,0.18284772,68_ruckin.wav,68_ruckin.png
69,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,ruckin,2189.0,2193.0,0.1329994,69_ruckin.wav,69_ruckin.png
70,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,ruckin,3583.0,3587.0,0.11487749,70_ruckin.wav,70_ruckin.png
71,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,ruckin,3591.0,3595.0,0.11295334,71_ruckin.wav,71_ruckin.png
72,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,ruckin,3576.0,3580.0,0.10582277,72_ruckin.wav,72_ruckin.png
73,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,whbnut,2026.0,2030.0,0.19435126,73_whbnut.wav,73_whbnut.png
74,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,whbnut,1843.0,1847.0,0.11681637,74_whbnut.wav,74_whbnut.png
75,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,whbnut,1642.0,1646.0,0.08776185,75_whbnut.wav,75_whbnut.png
76,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,whbnut,2222.0,2226.0,0.082774155,76_whbnut.wav,76_whbnut.png
77,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,rebnut,510.0,514.0,0.13423848,77_rebnut.wav,77_rebnut.png
78,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,brncre,1004.0,1008.0,0.06290737,78_brncre.wav,78_brncre.png
79,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,brncre,1451.0,1455.0,0.05083585,79_brncre.wav,79_brncre.png
80,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,buggna,1461.0,1465.0,0.40296584,80_buggna.wav,80_buggna.png
81,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,houwre,2444.0,2448.0,0.122827664,81_houwre.wav,81_houwre.png
82,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,houwre,2341.0,2345.0,0.11895988,82_houwre.wav,82_houwre.png
83,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,houwre,2415.0,2419.0,0.103753135,83_houwre.wav,83_houwre.png
84,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,houwre,2606.0,2610.0,0.08961286,84_houwre.wav,84_houwre.png
85,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,houwre,2371.0,2375.0,0.08834991,85_houwre.wav,85_houwre.png
86,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,winwre3,15.0,19.0,0.24857605,86_winwre3.wav,86_winwre3.png
87,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,winwre3,1826.0,1830.0,0.0662653,87_winwre3.wav,87_winwre3.png
88,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,winwre3,3323.0,3327.0,0.065786675,88_winwre3.wav,88_winwre3.png
89,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,winwre3,2261.0,2265.0,0.053530015,89_winwre3.wav,89_winwre3.png
90,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eursta,1817.0,1821.0,0.08498286,90_eursta.wav,90_eursta.png
91,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eursta,1510.0,1514.0,0.06441688,91_eursta.wav,91_eursta.png
92,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eursta,1574.0,1578.0,0.05961449,92_eursta.wav,92_eursta.png
93,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,eursta,1959.0,1963.0,0.05612361,93_eursta.wav,93_eursta.png
94,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grycat,1865.0,1869.0,0.6947317,94_grycat.wav,94_grycat.png
95,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,grycat,1873.0,1877.0,0.5020877,95_grycat.wav,95_grycat.png
96,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,herthr,1978.0,1982.0,0.58533776,96_herthr.wav,96_herthr.png
97,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,herthr,1618.0,1622.0,0.4665532,97_herthr.wav,97_herthr.png
98,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,herthr,1629.0,1633.0,0.32864547,98_herthr.wav,98_herthr.png
99,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,herthr,1519.0,1523.0,0.31193638,99_herthr.wav,99_herthr.png
100,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,herthr,2048.0,2052.0,0.28584015,100_herthr.wav,100_herthr.png
101,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,amerob,1959.0,1963.0,0.1807768,101_amerob.wav,101_amerob.png
102,1,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,amerob,1672.0,1676.0,0.10359299,102_amerob.wav,102_amerob.png
103,2,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,amerob,1434.0,1438.0,0.069941774,103_amerob.wav,103_amerob.png
104,3,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,amerob,3565.0,3569.0,0.068458,104_amerob.wav,104_amerob.png
105,4,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,amerob,1626.0,1630.0,0.056062028,105_amerob.wav,105_amerob.png
106,0,S1067SSW05_048K_S01_SWIFT28_20170511_170026Z.npz,cedwax,1471.0,1475.0,0.54384315,106_cedwax.wav,106_cedwax.png
